,Hunk_Type,Size
398,Buggy_Hunk,7
399,Fixed_Hunk,9
400,Buggy_Hunk,13
401,Fixed_Hunk,13
402,Buggy_Hunk,7
403,Fixed_Hunk,7
404,Buggy_Hunk,6
405,Fixed_Hunk,6
406,Buggy_Hunk,41
407,Fixed_Hunk,41
408,Buggy_Hunk,6
409,Fixed_Hunk,25
410,Buggy_Hunk,6
411,Fixed_Hunk,13
412,Buggy_Hunk,10
413,Fixed_Hunk,10
414,Buggy_Hunk,14
415,Fixed_Hunk,14
416,Buggy_Hunk,33
417,Fixed_Hunk,17
418,Buggy_Hunk,85
419,Fixed_Hunk,104
420,Buggy_Hunk,6
421,Fixed_Hunk,6
422,Buggy_Hunk,42
423,Fixed_Hunk,42
424,Buggy_Hunk,6
425,Fixed_Hunk,25
426,Buggy_Hunk,6
427,Fixed_Hunk,14
428,Buggy_Hunk,10
429,Fixed_Hunk,10
430,Buggy_Hunk,17
431,Fixed_Hunk,17
432,Buggy_Hunk,33
433,Fixed_Hunk,17
434,Buggy_Hunk,37
435,Fixed_Hunk,43
436,Buggy_Hunk,56
437,Fixed_Hunk,66
438,Buggy_Hunk,16
439,Fixed_Hunk,16
440,Buggy_Hunk,6
441,Fixed_Hunk,9
442,Buggy_Hunk,6
443,Fixed_Hunk,6
444,Buggy_Hunk,15
445,Fixed_Hunk,15
446,Buggy_Hunk,9
447,Fixed_Hunk,9
448,Buggy_Hunk,16
449,Fixed_Hunk,16
450,Buggy_Hunk,57
451,Fixed_Hunk,57
452,Buggy_Hunk,23
453,Fixed_Hunk,23
454,Buggy_Hunk,7
455,Fixed_Hunk,7
456,Buggy_Hunk,8
457,Fixed_Hunk,8
458,Buggy_Hunk,33
459,Fixed_Hunk,19
460,Buggy_Hunk,6
461,Fixed_Hunk,14
462,Buggy_Hunk,7
463,Fixed_Hunk,7
464,Buggy_Hunk,6
465,Fixed_Hunk,6
466,Buggy_Hunk,29
467,Fixed_Hunk,29
468,Buggy_Hunk,6
469,Fixed_Hunk,12
470,Buggy_Hunk,6
471,Fixed_Hunk,14
472,Buggy_Hunk,10
473,Fixed_Hunk,10
474,Buggy_Hunk,17
475,Fixed_Hunk,17
476,Buggy_Hunk,20
477,Fixed_Hunk,17
478,Buggy_Hunk,24
479,Fixed_Hunk,30
480,Buggy_Hunk,56
481,Fixed_Hunk,66
482,Buggy_Hunk,16
483,Fixed_Hunk,16
484,Buggy_Hunk,8
485,Fixed_Hunk,8
486,Buggy_Hunk,7
487,Fixed_Hunk,7
488,Buggy_Hunk,12
489,Fixed_Hunk,14
490,Buggy_Hunk,7
491,Fixed_Hunk,8
492,Buggy_Hunk,6
493,Fixed_Hunk,7
494,Buggy_Hunk,6
495,Fixed_Hunk,7
496,Buggy_Hunk,6
497,Fixed_Hunk,7
498,Buggy_Hunk,6
499,Fixed_Hunk,7
500,Buggy_Hunk,6
501,Fixed_Hunk,7
502,Buggy_Hunk,6
503,Fixed_Hunk,7
504,Buggy_Hunk,37
505,Fixed_Hunk,37
506,Buggy_Hunk,8
507,Fixed_Hunk,8
508,Buggy_Hunk,6
509,Fixed_Hunk,8
510,Buggy_Hunk,7
511,Fixed_Hunk,7
512,Buggy_Hunk,10
513,Fixed_Hunk,24
514,Buggy_Hunk,20
515,Fixed_Hunk,24
516,Buggy_Hunk,7
517,Fixed_Hunk,7
518,Buggy_Hunk,19
519,Fixed_Hunk,33
520,Buggy_Hunk,7
521,Fixed_Hunk,8
522,Buggy_Hunk,13
523,Fixed_Hunk,13
524,Buggy_Hunk,6
525,Fixed_Hunk,15
526,Buggy_Hunk,7
527,Fixed_Hunk,9
528,Buggy_Hunk,6
529,Fixed_Hunk,6
530,Buggy_Hunk,42
531,Fixed_Hunk,42
532,Buggy_Hunk,6
533,Fixed_Hunk,12
534,Buggy_Hunk,7
535,Fixed_Hunk,7
536,Buggy_Hunk,16
537,Fixed_Hunk,16
538,Buggy_Hunk,34
539,Fixed_Hunk,14
540,Buggy_Hunk,44
541,Fixed_Hunk,50
542,Buggy_Hunk,69
543,Fixed_Hunk,81
544,Buggy_Hunk,6
545,Fixed_Hunk,6
546,Buggy_Hunk,22
547,Fixed_Hunk,22
548,Buggy_Hunk,50
549,Fixed_Hunk,50
550,Buggy_Hunk,35
551,Fixed_Hunk,35
552,Buggy_Hunk,14
553,Fixed_Hunk,11
554,Buggy_Hunk,85
555,Fixed_Hunk,103
556,Buggy_Hunk,6
557,Fixed_Hunk,6
558,Buggy_Hunk,28
559,Fixed_Hunk,28
560,Buggy_Hunk,56
561,Fixed_Hunk,56
562,Buggy_Hunk,42
563,Fixed_Hunk,42
564,Buggy_Hunk,16
565,Fixed_Hunk,16
566,Buggy_Hunk,19
567,Fixed_Hunk,19
568,Buggy_Hunk,15
569,Fixed_Hunk,12
570,Buggy_Hunk,43
571,Fixed_Hunk,43
572,Buggy_Hunk,6
573,Fixed_Hunk,6
574,Buggy_Hunk,46
575,Fixed_Hunk,46
576,Buggy_Hunk,43
577,Fixed_Hunk,43
578,Buggy_Hunk,34
579,Fixed_Hunk,34
580,Buggy_Hunk,20
581,Fixed_Hunk,20
582,Buggy_Hunk,7
583,Fixed_Hunk,7
584,Buggy_Hunk,12
585,Fixed_Hunk,12
586,Buggy_Hunk,34
587,Fixed_Hunk,13
588,Buggy_Hunk,102
589,Fixed_Hunk,120
590,Buggy_Hunk,12
591,Fixed_Hunk,10
592,Buggy_Hunk,11
593,Fixed_Hunk,10
594,Buggy_Hunk,7
595,Fixed_Hunk,7
596,Buggy_Hunk,7
597,Fixed_Hunk,7
598,Buggy_Hunk,6
599,Fixed_Hunk,10
600,Buggy_Hunk,8
601,Fixed_Hunk,8
602,Buggy_Hunk,13
603,Fixed_Hunk,13
604,Buggy_Hunk,26
605,Fixed_Hunk,26
606,Buggy_Hunk,16
607,Fixed_Hunk,16
608,Buggy_Hunk,26
609,Fixed_Hunk,26
610,Buggy_Hunk,29
611,Fixed_Hunk,29
612,Buggy_Hunk,30
613,Fixed_Hunk,19
614,Buggy_Hunk,6
615,Fixed_Hunk,17
616,Buggy_Hunk,13
617,Fixed_Hunk,13
618,Buggy_Hunk,6
619,Fixed_Hunk,6
620,Buggy_Hunk,46
621,Fixed_Hunk,46
622,Buggy_Hunk,7
623,Fixed_Hunk,7
624,Buggy_Hunk,15
625,Fixed_Hunk,15
626,Buggy_Hunk,9
627,Fixed_Hunk,9
628,Buggy_Hunk,50
629,Fixed_Hunk,50
630,Buggy_Hunk,20
631,Fixed_Hunk,20
632,Buggy_Hunk,17
633,Fixed_Hunk,17
634,Buggy_Hunk,12
635,Fixed_Hunk,12
636,Buggy_Hunk,31
637,Fixed_Hunk,31
638,Buggy_Hunk,15
639,Fixed_Hunk,15
640,Buggy_Hunk,7
641,Fixed_Hunk,7
642,Buggy_Hunk,12
643,Fixed_Hunk,12
644,Buggy_Hunk,11
645,Fixed_Hunk,11
646,Buggy_Hunk,39
647,Fixed_Hunk,18
648,Buggy_Hunk,75
649,Fixed_Hunk,78
650,Buggy_Hunk,53
651,Fixed_Hunk,66
652,Buggy_Hunk,7
653,Fixed_Hunk,7
654,Buggy_Hunk,8
655,Fixed_Hunk,10
656,Buggy_Hunk,6
