,Hunk_Type,Size
398,Buggy_Hunk,7
399,Fixed_Hunk,7
400,Buggy_Hunk,7
401,Fixed_Hunk,7
402,Buggy_Hunk,7
403,Fixed_Hunk,7
404,Buggy_Hunk,7
405,Fixed_Hunk,7
406,Buggy_Hunk,7
407,Fixed_Hunk,7
408,Buggy_Hunk,7
409,Fixed_Hunk,7
410,Buggy_Hunk,7
411,Fixed_Hunk,7
412,Buggy_Hunk,7
413,Fixed_Hunk,7
414,Buggy_Hunk,7
415,Fixed_Hunk,7
416,Buggy_Hunk,7
417,Fixed_Hunk,7
418,Buggy_Hunk,7
419,Fixed_Hunk,7
420,Buggy_Hunk,7
421,Fixed_Hunk,7
422,Buggy_Hunk,7
423,Fixed_Hunk,7
424,Buggy_Hunk,7
425,Fixed_Hunk,7
426,Buggy_Hunk,7
427,Fixed_Hunk,7
428,Buggy_Hunk,7
429,Fixed_Hunk,7
430,Buggy_Hunk,7
431,Fixed_Hunk,7
432,Buggy_Hunk,7
433,Fixed_Hunk,7
434,Buggy_Hunk,7
435,Fixed_Hunk,7
436,Buggy_Hunk,7
437,Fixed_Hunk,7
438,Buggy_Hunk,7
439,Fixed_Hunk,7
440,Buggy_Hunk,7
441,Fixed_Hunk,7
442,Buggy_Hunk,7
443,Fixed_Hunk,7
444,Buggy_Hunk,7
445,Fixed_Hunk,7
446,Buggy_Hunk,7
447,Fixed_Hunk,7
448,Buggy_Hunk,7
449,Fixed_Hunk,7
450,Buggy_Hunk,7
451,Fixed_Hunk,7
452,Buggy_Hunk,7
453,Fixed_Hunk,7
454,Buggy_Hunk,7
455,Fixed_Hunk,7
456,Buggy_Hunk,7
457,Fixed_Hunk,7
458,Buggy_Hunk,7
459,Fixed_Hunk,7
460,Buggy_Hunk,7
461,Fixed_Hunk,7
462,Buggy_Hunk,7
463,Fixed_Hunk,7
464,Buggy_Hunk,7
465,Fixed_Hunk,7
466,Buggy_Hunk,7
467,Fixed_Hunk,7
468,Buggy_Hunk,7
469,Fixed_Hunk,7
470,Buggy_Hunk,7
471,Fixed_Hunk,7
472,Buggy_Hunk,7
473,Fixed_Hunk,7
474,Buggy_Hunk,7
475,Fixed_Hunk,7
476,Buggy_Hunk,7
477,Fixed_Hunk,7
478,Buggy_Hunk,7
479,Fixed_Hunk,7
480,Buggy_Hunk,7
481,Fixed_Hunk,7
482,Buggy_Hunk,7
483,Fixed_Hunk,7
484,Buggy_Hunk,7
485,Fixed_Hunk,7
486,Buggy_Hunk,7
487,Fixed_Hunk,7
488,Buggy_Hunk,7
489,Fixed_Hunk,7
490,Buggy_Hunk,7
491,Fixed_Hunk,7
492,Buggy_Hunk,7
493,Fixed_Hunk,7
494,Buggy_Hunk,7
495,Fixed_Hunk,7
496,Buggy_Hunk,7
497,Fixed_Hunk,7
498,Buggy_Hunk,7
499,Fixed_Hunk,7
500,Buggy_Hunk,7
501,Fixed_Hunk,7
502,Buggy_Hunk,7
503,Fixed_Hunk,7
504,Buggy_Hunk,7
505,Fixed_Hunk,7
506,Buggy_Hunk,7
507,Fixed_Hunk,7
508,Buggy_Hunk,7
509,Fixed_Hunk,7
510,Buggy_Hunk,7
511,Fixed_Hunk,7
512,Buggy_Hunk,7
513,Fixed_Hunk,7
514,Buggy_Hunk,7
515,Fixed_Hunk,7
516,Buggy_Hunk,7
517,Fixed_Hunk,7
518,Buggy_Hunk,7
519,Fixed_Hunk,7
520,Buggy_Hunk,7
521,Fixed_Hunk,7
522,Buggy_Hunk,19
523,Fixed_Hunk,27
524,Buggy_Hunk,8
525,Fixed_Hunk,6
526,Buggy_Hunk,7
527,Fixed_Hunk,6
528,Buggy_Hunk,24
529,Fixed_Hunk,6
530,Buggy_Hunk,21
531,Fixed_Hunk,6
532,Buggy_Hunk,20
533,Fixed_Hunk,20
534,Buggy_Hunk,7
535,Fixed_Hunk,7
536,Buggy_Hunk,7
537,Fixed_Hunk,7
538,Buggy_Hunk,8
539,Fixed_Hunk,6
540,Buggy_Hunk,6
541,Fixed_Hunk,7
542,Buggy_Hunk,7
543,Fixed_Hunk,7
544,Buggy_Hunk,7
545,Fixed_Hunk,7
546,Buggy_Hunk,7
547,Fixed_Hunk,7
548,Buggy_Hunk,10
549,Fixed_Hunk,11
550,Buggy_Hunk,6
551,Fixed_Hunk,7
552,Buggy_Hunk,7
553,Fixed_Hunk,11
554,Buggy_Hunk,10
555,Fixed_Hunk,12
556,Buggy_Hunk,17
